recid,boro,uf1_1,uf1_2,uf1_3,uf1_4,uf1_5,uf1_6,uf1_7,uf1_8,uf1_9,uf1_10,uf1_11,uf1_12,uf1_13,uf1_14,uf1_15,uf1_16,uf1_35,uf1_17,uf1_18,uf1_19,uf1_20,uf1_21,uf1_22,sc23,sc24,sc36,sc37,sc38,sc30,sc518,uf49,sc520,uf33,uf51,sc522,sc553,sc555,sc523,sc524,sc525,sc526,sc527,sc528,sc529,sc530,sc531,sc532,sc533,sc534,sc535,uf31,uf19,new_csr,nusc,sc26,uf23,rec62,rec64,uf32,rec21,cd,seqno,fw,hflag6,hflag3,hflag15,hflag17,hflag8,hflag5
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,2,2,2,2,11,1,05,07,1,1,1,1,01,0,3,0,4,2,3,8,2,3,2,99,99999,2,07,03,05,07,1,1,9999,1,05,368057,318.08141,0,0,0,0,1,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,1,1,1,5,2,13,2,06,05,1,1,1,1,01,0,3,1,9,1,1,1,2,1,1,99,01985,2,85,03,07,05,1,4,1985,1,05,502719,162.93827,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,8,8,8,8,8,8,9,9,9,9,1,9,2,2,1,1,1,5,2,13,2,06,05,1,1,1,1,01,0,3,1,9,1,1,3,2,1,1,99,02215,2,85,03,07,05,1,4,2215,1,05,475071,162.93827,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,1,1,1,5,2,13,2,06,05,1,1,1,1,01,1,9,1,9,1,1,1,2,1,1,99,02215,2,85,03,07,05,4,4,2215,1,05,984866,162.93827,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,1,1,1,1,2,13,2,07,07,1,1,1,1,01,0,3,0,4,2,1,1,2,1,1,99,00700,2,85,03,07,05,1,1,0700,1,05,414280,213.88445,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,1,1,1,2,12,2,05,05,1,2,2,6,03,0,3,0,4,1,1,1,2,1,1,99,01200,1,30,03,07,07,1,1,0200,1,05,904361,260.30789,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,1,1,1,1,2,11,2,05,05,1,2,2,3,02,0,3,0,4,1,1,3,2,1,1,99,01400,1,31,03,07,05,1,1,0466,1,05,099733,202.12131,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,1,9,9,9,9,9,9,9,9,1,9,2,2,2,4,1,2,2,11,2,03,05,2,9,2,3,02,0,3,0,4,1,1,4,2,1,1,99,00975,1,30,02,07,08,1,1,0325,1,05,858589,206.57377,0,0,0,0,0,0
3,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,11,2,04,05,2,9,2,5,03,0,3,0,4,1,1,1,2,1,1,99,01000,1,30,02,07,09,1,1,0200,8,05,572661,274.94714,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,1,1,4,3,1,2,05,2,02,02,2,9,1,4,03,0,3,0,4,4,1,1,2,1,3,04,99999,2,04,03,11,01,1,1,9999,1,05,588968,220.34536,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,9,1,2,2,2,4,2,1,2,12,2,05,05,2,9,2,3,02,0,3,0,4,1,1,2,2,1,1,99,01125,1,30,02,07,08,1,1,0375,1,05,241132,260.30789,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,1,4,1,2,2,11,2,05,07,2,9,2,4,03,0,3,0,4,4,1,4,2,1,3,01,99999,1,04,02,11,09,1,1,9999,1,05,775540,212.8269,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,1,9,9,2,2,2,4,1,8,8,12,3,04,98,2,9,8,5,04,0,3,0,4,4,1,8,8,1,3,03,99999,2,04,02,11,08,1,1,9999,1,05,580623,252.43603,0,0,1,1,1,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,1,2,1,1,2,12,2,05,06,1,2,2,4,03,0,3,0,4,1,1,4,2,1,3,01,99999,1,04,03,11,05,1,1,9999,1,05,430710,225.25859,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,4,2,2,2,11,2,04,03,2,9,2,3,02,0,3,0,4,1,1,3,2,1,1,99,01050,1,30,02,07,09,1,1,0350,1,05,703421,225.35612,0,0,0,0,0,0
3,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,8,8,8,3,2,11,2,04,06,2,9,2,3,02,0,3,0,4,2,1,2,2,1,3,03,99999,1,04,02,11,08,1,1,9999,8,05,790401,202.07259,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,8,8,8,8,8,2,2,11,2,05,06,2,9,2,3,02,0,3,0,4,1,1,3,2,1,1,99,00988,1,30,02,07,08,1,1,0329,8,05,626915,286.71249,0,0,0,0,1,0
